U+F900	豈	mgku
U+F901	更	gjri
U+F902	車	lghh
U+F903	賈	smu
U+F904	滑	imeg
U+F905	串	kkhk
U+F906	句	qkd
U+F907	龜	txd
U+F908	龜	txd
U+F909	契	dhvd
U+F90A	金	qqqq
U+F90B	喇	kskj
U+F90C	奈	dfiu
U+F90D	懶	nskm
U+F90E	癩	uskm
U+F90F	羅	lxwy
U+F910	蘿	alxy
U+F911	螺	jlxi
U+F912	裸	pujs
U+F913	邏	lxwp
U+F914	樂	rxxs
U+F915	洛	itkg
U+F916	烙	otkg
U+F917	珞	gtkg
U+F918	落	aitk
U+F919	酪	sgtk
U+F91A	駱	cotk
U+F91B	亂	ecmn
U+F91C	卵	qyty
U+F91D	欄	susl
U+F91E	爛	ousl
U+F91F	蘭	ausl
U+F920	鸞	yxxo
U+F921	嵐	mwtj
U+F922	濫	iahl
U+F923	藍	aahl
U+F924	襤	pual
U+F925	拉	rug
U+F926	臘	evln
U+F927	蠟	jvln
U+F928	廊	oyvb
U+F929	朗	yveg
U+F92A	浪	iyvy
U+F92B	狼	qtyv
U+F92C	郎	yvbh
U+F92D	來	swwi
U+F92E	冷	uwyc
U+F92F	勞	oope
U+F930	擄	rhle
U+F931	櫓	sqoj
U+F932	爐	ohll
U+F933	盧	hlld
U+F934	老	ftxb
U+F935	蘆	ahll
U+F936	虜	hlee
U+F937	路	khtk
U+F938	露	fkhk
U+F939	魯	qojf
U+F93A	鷺	khto
U+F93B	碌	dviy
U+F93C	祿	pyxi
U+F93D	綠	xxiy
U+F93E	菉	aviu
U+F93F	錄	qxiy
U+F940	鹿	oxxv
U+F941	論	ywga
U+F942	壟	uegf
U+F943	弄	gaj
U+F944	籠	tued
U+F945	聾	uegb
U+F946	牢	ptgj
U+F947	磊	dddf
U+F948	賂	mtkg
U+F949	雷	flf
U+F94A	壘	lllf
U+F94B	屢	nlvd
U+F94C	樓	slvg
U+F94D	淚	iynd
U+F94E	漏	infy
U+F94F	累	lxiu
U+F950	縷	xlvg
U+F951	陋	bgmn
U+F952	勒	afet
U+F953	肋	eet
U+F954	凜	uylt
U+F955	凌	ufwt
U+F956	稜	tfwt
U+F957	綾	xfwt
U+F958	菱	afwt
U+F959	陵	bfwt
U+F95A	讀	yflm
U+F95B	拏	vcrj
U+F95C	樂	rxxs
U+F95D	諾	yadk
U+F95E	丹	myd
U+F95F	寧	pnls
U+F960	怒	vcnu
U+F961	率	yxif
U+F962	異	lawu
U+F963	北	uxn
U+F964	磻	dtol
U+F965	便	wgjr
U+F966	復	ttjt
U+F967	不	dhi
U+F968	泌	intt
U+F969	數	lvty
U+F96A	索	fpxi
U+F96B	參	ccce
U+F96C	塞	pawf
U+F96D	省	ithf
U+F96E	葉	aans
U+F96F	說	ywkq
